movie_id,imdb_rating,imdb_votes,tomatometer_rating,tomatometer_count,audience_rating,audience_count
535,8.0,534405,91,458,81,71314
536,8.0,223804,84,264,91,39787
537,7.8,260159,96,347,78,50194
538,7.3,391523,92,448,72,25784
539,7.9,234177,0,0,0,0
540,7.4,184502,84,312,82,14004
541,7.8,591901,92,453,81,68676
542,7.7,526587,98,386,86,75461
543,7.4,258867,99,391,79,22610
544,7.5,119413,0,0,0,0
545,7.2,142630,0,0,0,0
546,8.1,463268,90,405,87,22869
547,8.2,422669,77,354,91,10093
548,7.3,671956,96,512,79,88211
549,7.5,240028,96,436,83,11251
550,7.9,482597,60,403,85,23296
551,7.5,183744,93,405,69,7189
552,7.7,147705,96,387,72,5521
553,7.6,354157,90,517,79,20442
554,7.2,132014,65,359,60,5061
555,8.6,651517,0,0,0,0
556,8.3,485648,0,0,0,0
557,8.1,331665,0,0,0,0
558,7.8,349303,96,439,86,1057
559,7.9,335856,0,0,0,0
560,8.4,1056051,68,574,88,66303
561,7.8,163410,0,0,0,0
562,7.9,270304,94,381,85,184
563,7.6,628233,0,0,0,0
564,7.4,123041,0,0,0,0
565,8.3,89693,0,0,0,0
566,7.5,58996,0,0,0,0
567,6.9,65380,0,0,0,0
568,7.5,57976,0,0,0,0
569,7.5,122269,0,0,0,0
570,7.8,102807,0,0,0,0
571,7.8,156283,0,0,0,0
