movie_id,oscar_year,award
497,2012,Nominee
498,2012,Nominee
499,2012,Nominee
500,2012,Nominee
501,2012,Nominee
502,2012,Nominee
503,2012,Nominee
504,2013,Winner
505,2013,Nominee
506,2013,Nominee
507,2013,Nominee
508,2013,Nominee
509,2013,Nominee
510,2013,Nominee
511,2013,Nominee
512,2013,Nominee
513,2014,Winner
514,2014,Nominee
515,2014,Nominee
516,2014,Nominee
517,2014,Nominee
518,2014,Nominee
519,2014,Nominee
520,2014,Nominee
521,2015,Winner
522,2015,Nominee
523,2015,Nominee
524,2015,Nominee
525,2015,Nominee
526,2015,Nominee
527,2015,Nominee
528,2015,Nominee
529,2016,Winner
530,2016,Nominee
531,2016,Nominee
532,2016,Nominee
533,2016,Nominee
534,2016,Nominee
535,2016,Nominee
536,2016,Nominee
537,2016,Nominee
538,2017,Winner
539,2017,Nominee
540,2017,Nominee
541,2017,Nominee
542,2017,Nominee
543,2017,Nominee
544,2017,Nominee
545,2017,Nominee
546,2017,Nominee
547,2018,Winner
548,2018,Nominee
549,2018,Nominee
550,2018,Nominee
551,2018,Nominee
552,2018,Nominee
553,2018,Nominee
554,2018,Nominee
555,2019,Winner
556,2019,Nominee
557,2019,Nominee
558,2019,Nominee
559,2019,Nominee
560,2019,Nominee
561,2019,Nominee
562,2019,Nominee
563,2019,Nominee
564,2020,Nominee
565,2020,Nominee
566,2020,Nominee
567,2020,Nominee
568,2020,Nominee
569,2020,Nominee
570,2020,Nominee
571,2020,Nominee
